2026-03-04 21:28:08 | SUCCESS  | utils.db:154 | ✅ Database ready
2026-03-04 21:28:37 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-04 21:28:37 | SUCCESS  | utils.db:154 | ✅ Database ready
2026-03-04 21:28:37 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-04 21:28:37 | SUCCESS  | utils.db:154 | ✅ Database ready
2026-03-04 21:35:00 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-04 21:35:00 | SUCCESS  | utils.db:154 | ✅ Database ready
2026-03-04 21:35:05 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-04 21:35:05 | SUCCESS  | utils.db:154 | ✅ Database ready
2026-03-04 21:35:05 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-04 21:35:05 | SUCCESS  | utils.db:154 | ✅ Database ready
2026-03-04 21:35:15 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-04 21:35:15 | SUCCESS  | utils.db:154 | ✅ Database ready
2026-03-04 21:38:38 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-04 21:38:38 | SUCCESS  | utils.db:154 | ✅ Database ready
2026-03-04 21:38:44 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-04 21:38:44 | SUCCESS  | utils.db:154 | ✅ Database ready
2026-03-04 21:38:44 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-04 21:38:44 | SUCCESS  | utils.db:154 | ✅ Database ready
2026-03-04 21:39:15 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-04 21:39:15 | SUCCESS  | utils.db:154 | ✅ Database ready
2026-03-04 21:41:02 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-04 21:41:02 | SUCCESS  | utils.db:154 | ✅ Database ready
2026-03-04 21:41:07 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-04 21:41:07 | SUCCESS  | utils.db:154 | ✅ Database ready
2026-03-04 21:41:07 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-04 21:41:07 | SUCCESS  | utils.db:154 | ✅ Database ready
2026-03-04 21:41:13 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-04 21:41:13 | SUCCESS  | utils.db:154 | ✅ Database ready
2026-03-04 21:47:53 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-04 21:47:53 | SUCCESS  | utils.db:160 | ✅ Database ready
2026-03-04 21:48:00 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-04 21:48:00 | SUCCESS  | utils.db:160 | ✅ Database ready
2026-03-04 21:48:00 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-04 21:48:00 | SUCCESS  | utils.db:160 | ✅ Database ready
2026-03-04 21:49:23 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-04 21:49:23 | SUCCESS  | utils.db:160 | ✅ Database ready
2026-03-04 22:28:13 | INFO     | __main__:61 | ⏰ Refreshing IPO calendar cache…
2026-03-04 22:28:14 | SUCCESS  | __main__:64 | ✅ Calendar updated for 0 companies.
2026-03-04 22:28:14 | INFO     | __main__:69 | ⏰ Starting scheduled daily IPO scan (Incremental)...
2026-03-04 22:28:14 | SUCCESS  | __main__:72 | ✅ Scheduled IPO scan completed.
2026-03-04 22:28:14 | INFO     | __main__:77 | ⏰ Starting scheduled daily Signal Analysis...
2026-03-04 22:28:14 | SUCCESS  | __main__:80 | ✅ Scheduled Signal Analysis completed.
2026-03-04 22:33:58 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-04 22:33:58 | SUCCESS  | utils.db:160 | ✅ Database ready
2026-03-04 22:34:56 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-04 22:34:56 | SUCCESS  | utils.db:160 | ✅ Database ready
2026-03-04 22:34:56 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-04 22:34:56 | SUCCESS  | utils.db:160 | ✅ Database ready
2026-03-04 22:34:56 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-04 22:34:56 | SUCCESS  | utils.db:160 | ✅ Database ready
2026-03-04 22:34:56 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-04 22:34:56 | SUCCESS  | utils.db:160 | ✅ Database ready
2026-03-04 22:35:13 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-04 22:35:13 | SUCCESS  | utils.db:160 | ✅ Database ready
2026-03-04 22:35:13 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-04 22:35:13 | SUCCESS  | utils.db:160 | ✅ Database ready
2026-03-05 00:18:27 | INFO     | utils.db:32 | Initialising database: C:\Users\iamsh\AppData\Local\Temp\tmp6icjqmz6
2026-03-05 00:18:27 | SUCCESS  | utils.db:164 | ✅ Database ready
